name,diag,max_lf,max_st,diag_dom,max_deg
bwm2000,0.5002230133055935,0.999948316454382,0.9999483164543822,0.002,3
G44,0.0,0.0985985985985986,0.1,0.0,37
dynamicSoaringProblem_2,0.9959261651316963,0.9977558626429265,0.9983487975526638,0.010685103708359522,595
dw1024,0.5807954495198435,0.9428087514710042,0.9434545280167226,0.5537109375,7
t2dal_bci_Abottom,1.0,0.9999999999999998,0.9999999999999998,1.0,0
t2dal_bci_Aside,1.0,1.0,1.0,1.0,0
t2dal_bci_E,1.0,1.0,1.0,1.0,0
t2dal_bci,0.3404058142652844,0.6723494283229501,0.6760484326463745,0.0,8
t2dal_bci_Atop,1.0,1.0,1.0,1.0,0
fpga_dcop_33,0.41327792712564726,0.8241667479836926,0.9999957790331838,0.41721311475409834,35
S80PI_n,0.02605346781281404,0.9859152640228434,0.9960695405909816,0.001912960306073649,12
S80PI_n_E,1.0,1.0000000000000002,1.0000000000000002,1.0,0
bcsstk21,0.3975288257281721,0.6947464166017662,0.738208059206417,0.057777777777777775,8
fpga_dcop_31,0.41327784274144636,0.8241666547713363,0.9999955045880985,0.4245901639344262,35
cage9,0.6521411054518015,0.7295185339113529,0.7453491072489986,0.94199207696661,22
airfoil1,0.0,0.3228090161933436,0.3460004882415168,0.0,9
bcsstk26,0.3498594245624248,0.631851697391697,0.7246727710741909,0.21279916753381894,32
fpga_dcop_06,0.415830499020264,0.8045442965511321,0.9885329205413766,0.509016393442623,35
swang1,0.7231979670264087,0.8822652796692088,0.8844608503438972,1.0,9
c-27,0.8714824464508143,0.9252576707870717,0.9464613295089644,0.05237782160859084,368
fpga_dcop_25,0.41327737835665573,0.8241654282637749,0.9999948735585608,0.4245901639344262,35
rdb1250,0.49106215397624337,0.7323800602842178,0.7371106583517696,0.1536,5
fpga_dcop_41,0.4132783533748516,0.8241672758352123,0.9999964593456911,0.4426229508196721,35
fpga_dcop_46,0.413278353550448,0.8241672761838055,0.9999964596815686,0.4426229508196721,35
mhd1280a,7.393394799713572e-05,0.08540723113979078,0.5663326721684868,0.01328125,55
lshp1882,0.1458462492250465,0.4265344079355239,0.43738375697458154,0.0,6
kineticBatchReactor_2,0.9999950429674401,0.9999980784831759,0.9999989928999891,0.4368264159596423,1165
spaceStation_5,9.25777567736999e-08,0.5204121410134991,0.6957689886400079,0.0,133
YaleB_10NN,0.0,0.3999067087459372,0.4355016342504654,0.0,53
plantsmargin_12NN,0.0,0.2696232099149982,0.3091405734116697,0.0,42
lshp1270,0.14651592062759575,0.4254730041532072,0.43931702814951545,0.0,6
saylr3,0.6109303247205177,0.9622755280288333,0.9728010337208308,0.529,6
G27,0.0,0.09824912456228115,0.1,0.0,37
wang2,0.5007401167840605,0.8770294060307563,0.8888450540008559,0.5160179125043058,6
fpga_dcop_40,0.4132783530716306,0.824167275233257,0.999996458763016,0.43934426229508194,35
G54,0.0,0.1649763353617309,0.16886409736308317,0.0,136
G39,0.0,0.16675157072508065,0.1697232127695704,0.0,210
G41,0.0,0.16784047518031395,0.16962240135765805,0.0,279
reorientation_8,0.9999636105008113,0.9999808861119592,0.9999846928573244,0.17535392535392536,2919
can_1072,0.08614593378334941,0.24509803921568626,0.258277081324333,0.0,34
spaceStation_6,7.603064604059024e-08,0.5026557527962024,0.6630261208432708,0.0,145
fpga_dcop_22,0.41327843023721184,0.8241589223433795,0.9999924741749816,0.41721311475409834,35
orsreg_1,0.5000877961370143,0.9948185377473304,0.9954417259277212,1.0,6
saylr4,0.5000000854400684,0.9997538558762212,0.9997629496700587,0.9873737373737373,6
ex24,0.3362875342687024,0.6291856735815793,0.6645076645751937,0.04555409548839247,45
cavity08,0.22336909204362473,0.5321434259508746,0.5521182978865965,0.15736040609137056,61
G33,0.0,0.48,0.49975,0.0,4
spaceStation_14,5.791431955829846e-08,0.5470105255962276,0.7018309424266373,0.0,214
